File Name,Cell Image,Perimeter,Area,Circularity
Sickle1_1.png,"<img src=""Sickle1_1.png"">",166.57,1430.0,0.68
Sickle1_2.png,"<img src=""Sickle1_2.png"">",165.15,1564.5,0.65
Sickle1_3.png,"<img src=""Sickle1_3.png"">",183.68,2388.0,0.91
Sickle1_4.png,"<img src=""Sickle1_4.png"">",184.99,1934.0,0.53
Sickle1_5.png,"<img src=""Sickle1_5.png"">",177.44,2228.5,0.94
Sickle1_6.png,"<img src=""Sickle1_6.png"">",192.75,2629.5,0.95
Sickle1_7.png,"<img src=""Sickle1_7.png"">",159.1,1701.5,0.77
Sickle1_8.png,"<img src=""Sickle1_8.png"">",204.17,2929.0,0.95
Sickle1_9.png,"<img src=""Sickle1_9.png"">",205.1,2814.5,0.75
Sickle1_10.png,"<img src=""Sickle1_10.png"">",163.78,1908.5,0.94
Sickle1_11.png,"<img src=""Sickle1_11.png"">",182.07,2219.5,0.74
Sickle1_12.png,"<img src=""Sickle1_12.png"">",220.55,2773.5,0.65
Sickle1_13.png,"<img src=""Sickle1_13.png"">",170.02,2014.0,0.96
Sickle1_14.png,"<img src=""Sickle1_14.png"">",168.37,1998.0,0.8
Sickle1_15.png,"<img src=""Sickle1_15.png"">",180.51,2307.0,0.93
Sickle1_16.png,"<img src=""Sickle1_16.png"">",152.33,1376.5,0.78
Sickle1_17.png,"<img src=""Sickle1_17.png"">",264.41,2721.5,0.62
Sickle1_18.png,"<img src=""Sickle1_18.png"">",172.27,2075.5,0.87
Sickle1_19.png,"<img src=""Sickle1_19.png"">",181.48,2262.0,0.83
Sickle1_20.png,"<img src=""Sickle1_20.png"">",178.51,2234.0,0.96
Sickle1_21.png,"<img src=""Sickle1_21.png"">",197.82,2778.0,0.93
Sickle1_22.png,"<img src=""Sickle1_22.png"">",175.44,2140.5,0.82
Sickle1_23.png,"<img src=""Sickle1_23.png"">",181.1,2305.5,0.95
Sickle1_24.png,"<img src=""Sickle1_24.png"">",196.75,2766.5,0.93
Sickle1_25.png,"<img src=""Sickle1_25.png"">",220.55,2905.5,0.58
Sickle1_26.png,"<img src=""Sickle1_26.png"">",189.68,2508.0,0.87
