File Name,Cell Image,Perimeter,Area,Circularity
Sickle2_1.png,"<img src=""Sickle2_1.png"">",200.27,2736.5,0.98
Sickle2_2.png,"<img src=""Sickle2_2.png"">",205.82,2999.0,0.98
Sickle2_3.png,"<img src=""Sickle2_3.png"">",193.58,2631.5,0.97
Sickle2_4.png,"<img src=""Sickle2_4.png"">",180.85,2259.0,0.8
Sickle2_5.png,"<img src=""Sickle2_5.png"">",182.17,2315.0,0.93
Sickle2_6.png,"<img src=""Sickle2_6.png"">",197.14,2739.0,0.97
Sickle2_7.png,"<img src=""Sickle2_7.png"">",191.24,2446.5,0.75
Sickle2_8.png,"<img src=""Sickle2_8.png"">",196.17,2708.0,0.92
Sickle2_9.png,"<img src=""Sickle2_9.png"">",194.17,2678.0,1.0
Sickle2_10.png,"<img src=""Sickle2_10.png"">",161.44,1760.5,0.84
Sickle2_11.png,"<img src=""Sickle2_11.png"">",211.72,3113.5,0.95
Sickle2_12.png,"<img src=""Sickle2_12.png"">",177.58,2056.5,0.84
Sickle2_13.png,"<img src=""Sickle2_13.png"">",198.65,2823.0,0.95
Sickle2_14.png,"<img src=""Sickle2_14.png"">",187.1,2267.5,0.81
Sickle2_15.png,"<img src=""Sickle2_15.png"">",189.1,2465.5,0.81
Sickle2_16.png,"<img src=""Sickle2_16.png"">",179.68,2161.0,0.93
Sickle2_17.png,"<img src=""Sickle2_17.png"">",184.75,2417.5,0.95
Sickle2_18.png,"<img src=""Sickle2_18.png"">",180.99,2258.0,0.83
Sickle2_19.png,"<img src=""Sickle2_19.png"">",188.61,2411.5,0.84
Sickle2_20.png,"<img src=""Sickle2_20.png"">",218.99,3116.0,0.78
Sickle2_21.png,"<img src=""Sickle2_21.png"">",190.51,2427.0,0.84
Sickle2_22.png,"<img src=""Sickle2_22.png"">",188.17,2398.0,0.9
Sickle2_23.png,"<img src=""Sickle2_23.png"">",215.24,2538.5,0.56
Sickle2_24.png,"<img src=""Sickle2_24.png"">",205.82,2964.0,0.97
Sickle2_25.png,"<img src=""Sickle2_25.png"">",202.99,2746.0,0.79
Sickle2_26.png,"<img src=""Sickle2_26.png"">",221.48,3410.0,0.89
Sickle2_27.png,"<img src=""Sickle2_27.png"">",209.62,2387.0,0.66
